year,naics,naics_title,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90,employment_change_yoy_pct,wage_growth_yoy_pct,contraction_flag_12mo
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,220.0,,,,,,,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,210.0,91.3,189900.0,79.43,165210.0,81690.0,,-4.545454545454546,,1
2017,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,170.0,95.56,198770.0,87.17,181320.0,86720.0,,-19.047619047619047,4.670879410215903,1
2018,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,180.0,95.76,199180.0,87.38,181760.0,91290.0,,5.88235294117647,0.20626855159229263,0
2019,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,100.0,96.67,201080.0,88.85,184810.0,102760.0,,-44.44444444444444,0.9539110352445025,1
2020,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,100.0,88.05,183150.0,79.93,166260.0,61600.0,,0.0,-8.916849015317286,0
2021,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,150.0,78.27,162790.0,61.76,128460.0,38040.0,,50.0,-11.116571116571116,0
2022,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,120.0,86.95,180860.0,73.07,151990.0,38290.0,,-20.0,11.100190429387554,1
2023,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,130.0,109.02,226760.0,87.17,181320.0,92280.0,,8.333333333333332,25.378745991374547,0
2024,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,150.0,116.52,242370.0,103.99,216290.0,105020.0,,15.384615384615385,6.883930146410301,0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,3530.0,46.68,97090.0,38.25,79570.0,37520.0,,,,
2016,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,3670.0,48.21,100280.0,38.69,80480.0,37330.0,198570.0,3.9660056657223794,3.2856112884952102,0
