year,naics,naics_title,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,220.0,,,,,,
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,3530.0,46.68,97090.0,38.25,79570.0,37520.0,
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,250.0,57.26,119090.0,48.43,100730.0,59760.0,
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3011,Administrative Services Managers,40.0,43.73,90950.0,41.32,85950.0,43470.0,130260.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,30.0,48.47,100810.0,47.35,98490.0,68380.0,149600.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,230.0,54.62,113610.0,48.36,100590.0,57430.0,
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,440.0,39.29,81730.0,34.82,72430.0,48440.0,134760.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",180.0,43.66,90820.0,40.24,83710.0,54770.0,130260.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",2500.0,33.89,70490.0,31.21,64910.0,31840.0,114400.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,40.0,50.59,105230.0,50.04,104080.0,51270.0,166280.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-9141,"Property, Real Estate, and Community Association Managers",50.0,,,,,,
2015,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",150.0,55.76,115980.0,57.61,119840.0,50300.0,186020.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1021,"Buyers and Purchasing Agents, Farm Products",130.0,24.26,50460.0,20.79,43240.0,25060.0,89170.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",80.0,25.48,53010.0,22.64,47090.0,33530.0,90100.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1071,Human Resources Specialists,80.0,30.51,63460.0,27.24,56660.0,36740.0,101850.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1074,Farm Labor Contractors,1130.0,21.37,44450.0,14.85,30880.0,17850.0,91070.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1161,Market Research Analysts and Marketing Specialists,100.0,28.07,58380.0,23.06,47960.0,31460.0,90820.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-1199,"Business Operations Specialists, All Other",250.0,25.61,53270.0,25.59,53220.0,17830.0,79330.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",13-2011,Accountants and Auditors,660.0,32.39,67380.0,30.64,63720.0,41810.0,96120.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",15-1141,Database Administrators,90.0,39.0,81120.0,33.55,69790.0,39570.0,138340.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",15-1142,Network and Computer Systems Administrators,40.0,30.47,63370.0,30.19,62800.0,42940.0,85190.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",15-1151,Computer User Support Specialists,50.0,25.96,53990.0,23.43,48730.0,29030.0,92430.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",17-2021,Agricultural Engineers,,35.55,73940.0,35.26,73340.0,63160.0,93570.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-1011,Animal Scientists,270.0,34.34,71420.0,30.61,63660.0,47300.0,108900.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-1012,Food Scientists and Technologists,50.0,31.55,65620.0,29.29,60920.0,38490.0,96270.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-1013,Soil and Plant Scientists,300.0,29.01,60340.0,28.86,60020.0,28760.0,95280.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-1029,"Biological Scientists, All Other",50.0,37.04,77040.0,31.02,64510.0,24420.0,142340.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-1032,Foresters,340.0,33.16,68960.0,31.01,64490.0,37180.0,108870.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-4011,Agricultural and Food Science Technicians,900.0,16.38,34070.0,14.62,30400.0,21270.0,52100.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-4021,Biological Technicians,60.0,17.47,36340.0,16.06,33390.0,24000.0,55480.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-4093,Forest and Conservation Technicians,60.0,17.54,36490.0,19.01,39540.0,22980.0,47370.0
2015,11,"Agriculture, Forestry, Fishing and Hunting",19-4099,"Life, Physical, and Social Science Technicians, All Other",40.0,27.1,56370.0,24.94,51860.0,34900.0,82780.0
