year,region,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,US,11-1011,Chief Executives,238940.0,89.35,185850.0,84.19,175110.0,68600.0,
2015,US,11-1021,General and Operations Managers,2145140.0,57.44,119460.0,46.99,97730.0,44190.0,
2015,US,11-1031,Legislators,55820.0,,42530.0,,20500.0,16950.0,91960.0
2015,US,11-2011,Advertising and Promotions Managers,29340.0,54.62,113610.0,46.1,95890.0,42440.0,
2015,US,11-2021,Marketing Managers,192890.0,67.63,140660.0,61.9,128750.0,66090.0,
2015,US,11-2022,Sales Managers,364750.0,62.69,130400.0,54.74,113860.0,54490.0,
2015,US,11-2031,Public Relations and Fundraising Managers,60380.0,57.4,119390.0,50.07,104140.0,56890.0,
2015,US,11-3011,Administrative Services Managers,270080.0,45.6,94840.0,41.4,86110.0,46430.0,153570.0
2015,US,11-3021,Computer and Information Systems Managers,341250.0,67.79,141000.0,63.27,131600.0,80160.0,
2015,US,11-3031,Financial Managers,531120.0,64.58,134330.0,56.73,117990.0,63020.0,
2015,US,11-3051,Industrial Production Managers,169390.0,49.87,103720.0,45.17,93940.0,56640.0,162240.0
2015,US,11-3061,Purchasing Managers,72600.0,54.87,114130.0,51.98,108120.0,60830.0,172950.0
2015,US,11-3071,"Transportation, Storage, and Distribution Managers",109210.0,45.74,95130.0,41.65,86630.0,50840.0,149770.0
2015,US,11-3111,Compensation and Benefits Managers,15930.0,58.48,121630.0,53.57,111430.0,60680.0,
2015,US,11-3121,Human Resources Managers,122780.0,56.29,117080.0,50.21,104440.0,61300.0,
2015,US,11-3131,Training and Development Managers,31430.0,53.69,111680.0,49.35,102640.0,55850.0,180360.0
2015,US,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",4370.0,33.6,69880.0,30.85,64170.0,33110.0,113140.0
2015,US,11-9021,Construction Managers,239640.0,46.88,97510.0,42.02,87400.0,52350.0,155200.0
2015,US,11-9031,"Education Administrators, Preschool and Childcare Center/Program",46760.0,25.37,52760.0,21.96,45670.0,28890.0,86870.0
2015,US,11-9032,"Education Administrators, Elementary and Secondary School",235110.0,,92940.0,,90410.0,59070.0,131310.0
2015,US,11-9033,"Education Administrators, Postsecondary",135690.0,49.33,102610.0,42.59,88580.0,50240.0,174280.0
2015,US,11-9039,"Education Administrators, All Other",31880.0,39.89,82970.0,36.99,76930.0,41810.0,128210.0
2015,US,11-9041,Architectural and Engineering Managers,179770.0,68.1,141650.0,63.85,132800.0,84710.0,
2015,US,11-9051,Food Service Managers,201370.0,25.79,53640.0,23.41,48690.0,28780.0,83010.0
2015,US,11-9061,Funeral Service Managers,8300.0,40.61,84470.0,34.08,70890.0,38530.0,142750.0
2015,US,11-9071,Gaming Managers,3950.0,37.39,77770.0,32.88,68380.0,43130.0,122350.0
2015,US,11-9081,Lodging Managers,35480.0,27.79,57810.0,23.91,49720.0,28300.0,94330.0
2015,US,11-9111,Medical and Health Services Managers,314950.0,50.99,106070.0,45.43,94500.0,56230.0,165380.0
